"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAIMPAG","197912","602.774","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197913","635.562","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198001","503","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198002","655.517","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198003","472.065","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198004","546.4","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198005","441.226","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198006","497.333","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198007","557.452","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198008","432.419","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198009","375.367","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198010","465.065","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198011","492.933","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198012","422.871","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198013","487.642","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198101","341.187","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198102","380.724","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198103","352.025","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198104","263.065","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198105","393.283","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198106","356.484","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198107","333.078","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
